FoodEstabKey,EstablishmentKey,businessname
771,771,CVS No. 117
772,772,CVS No. 1259
773,773,CVS No. 1264
774,774,CVS No. 1265
775,775,CVS No. 226
776,776,CVS No. 471
777,777,CVS No. 49
778,778,CVS No. 5874
779,779,CVS No. 720
780,780,CVS PHARMACY No.  1252
781,781,CVS PHARMACY No. 0055
782,782,CVS Pharmacy No. 1031
783,783,CVS Pharmacy No. 11200
784,784,CVS Pharmacy No. 1206
785,785,CVS PHARMACY No. 3307
786,786,CVS Pharmacy No. 5464
787,787,CVS/Pharmacy No.  619
788,788,CVS/Pharmacy No.  7530
789,789,CVS/Pharmacy No.  8972
790,790,CVS/PHARMACY No. 0361
791,791,CVS/PHARMACY No. 1009
792,792,CVS/Pharmacy No. 10174
793,793,CVS/Pharmacy No. 10517
794,794,CVS/PHARMACY No. 1258
795,795,CVS/Pharmacy No. 1889
796,796,CVS/Pharmacy No. 1900
797,797,CVS/Pharmacy No. 2070
798,798,CVS/Pharmacy No. 2256
799,799,CVS/PHARMACY No. 2283
800,800,CVS/PHARMACY No. 2592
801,801,CVS/Pharmacy No. 524
802,802,CVS/PHARMACY No. 979
803,803,CVSNo. 1199
804,804,D & D Convenience Store
805,805,D & D Restaurant
806,806,D Coal Pot
807,807,D Market
808,808,D Street Pizza
809,809,Da Bomb Truck
810,810,DACOOPA SUB & PIZZA
811,811,Daddy's Bonetown Burgers
812,812,Daily Catch
813,813,Daily Table
814,814,Damasco Mediterranean Cuisine
815,815,Dana Farber Cancer Institute Cafeteria
816,816,D'ANGELO SANDWICH SHOP
817,817,Daniel Beauty Supply & Dollar Store
818,818,Darbar Indo-Pak Rest.
819,819,Dare to Taste/Table by Jen Royle
820,820,Darryl's Corner Bar and Kitchen
821,821,Dash Cafe
822,822,Dates & Olives
823,823,DAVIO'S
824,824,Day Square Mobil
825,825,DAYIB CAFE
826,826,DBAR
827,827,D'BENNY'S SUBS
828,828,DD1/B14
829,829,DD2
830,830,DEDHAM LINE LIQUORS
831,831,DEEP ELLUM/ Lone Star Taco Bar
832,832,Deja - Brew
833,833,Del Frisco's Double eagle Steak House
834,834,Delfino Restaurant
835,835,DelFriscos Double Eagle Steak House
836,836,DELI OF COURSE
837,837,Deli One
838,838,Delicias Colombianas 2
839,839,Delicias Del Caribe
840,840,Delicious Yogurt
841,841,Delight Corner
842,842,Deloitte Bistro
843,843,Del's Lemonade (Left Field Vending)
844,844,Del's Lemonade (Vending 10)
845,845,DELTA SKY CLUB TERMINAL A SATELLITE
846,846,Delta Sky Club Trmnl A Main
847,847,DEM & TED INC.  PIZZA SHUTTLE
848,848,Democracy Brewing
849,849,DENO'S SUBS & PIZZA
850,850,Deparma
851,851,Deuxave
852,852,Devine Merci Restaurant
853,853,DEVLIN'S RESTAURANT
854,854,D'Guru
855,855,Diallo's Halal Meat
856,856,Diaz Market
857,857,DICK'S LAST RESORT
858,858,Dig Inn
859,859,DILLON'S
860,860,DIMITRIOS HOUSE OF PIZZA
861,861,Dine Boston
862,862,DING HO FAST FOOD
863,863,Dining Hall @Emerson
864,864,DINO'S CAFE
865,865,Dirty Water Dough Company
866,866,Discovery Cafe
867,867,District 7 Tavern
868,868,Doby Works Inc.
869,869,Dog House
870,870,DOGWOOD CAFE
871,871,Dolce
872,872,DOLCE VITA
873,873,DOLCE VITA (1696 Comm. Ave.)
874,874,Dollar General Store No. 19113
875,875,Dollar General Store No. 19117
876,876,Dollar Tree
877,877,Dollar Tree No.  4577
878,878,Dollar Tree No.  5098
879,879,Dollar Tree No.  5592
880,880,Dollar Tree No. 07507
881,881,Dollar Tree No. 07679
882,882,Dollar Tree No. 07716
883,883,Dollar Tree No. 7814
