LiquorEstKey,EstablishmentKey,COMMENTS,CLOSING,PATRONSOUT,CAPACITY
166,7235,26 Standing  97 Seated,1:00 AM,1:30 AM,123
167,7236,NONE,2:00 AM,2:30 AM,179
168,7237,NONE,2:00 AM,2:30 AM,198
169,7238,A.) ALCOHOL WITH FOOD ONLY  B.) FOOD SERVICE AT BAR  C.) ALCOHOL WITH FOOD ONLY AT PATIO.,MIDNIGHT,12:30 AM,36
170,7239,1. Alcohol to be served only in conjunction with food orders from the menu at all tables  seats  indoors and outdoors.  2. Food shall be available at the 1st floor and 2nd floor bars at all times.,1:00 AM,1:30 AM,312
171,7240,Persons-Total: 98 Persons-1st. floor  98 Persons-mezzanine. 185 Persons-Total;(With Entertainment),2:00 AM,2:30 AM,196
172,7241,1.)  THURSDAY THROUGH SATURDAY 1:00 AM CLOSING HR. SUNDAY THRU WEDNESDAY MIDNIGHT CLOSING HOUR.,1:00 AM,1:30 AM,368
173,7242,NONE,1:00 AM,1:30 AM,88
174,7243,Glass mugs with name of premises on them.  11 PM closing. Roped off area only.,11:00 PM,11:30 PM,23
175,7244,1) 11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH FOR THE HOTEL.PATIO CONDITIONS: 1) ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD;2) TO BE STAFFED AT ALL TIMES; AND3) OPERATING HOURS OF 6:00 A.M.-12:00 A.M.,2:00 AM,NULL,0
176,7245,ALCOHLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS: FROM - 11AM TO NOON. Request granted on 9/28/84,1:00 AM,1:30 AM,101
177,7246,5/19/08: BOARD GRANTED PERMISSION TO PROVIDE BOTTLE SERVICE.,2:00 AM,2:30 AM,1220
178,7247,CONDITIONS: OUTDOOR PATIO IS ONLY APPROVED AT BUILDING #3. PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE ONLY IN CONJUNCTION WITH MEALS. 2.) TO BE STAFFED AT ALL TIMES 3.) OPERATING HOURS OF 11:00 AM TO 11:00 PM.,2:00 AM,2:30 AM,0
179,7248,NONE,2:00 AM,2:30 AM,2677
180,7249,NONE,MIDNIGHT,12:30 AM,5443
181,7250,NONE,2:00 AM,2:30 AM,38000
